Sample;Concentration;Threshold
S01;18,30;3000
S01;19,90;3000
S01;20,70;3000
S01;17,60;3000
S01;16,70;3000
S01;18,40;3000
S01;16,70;3000
S01;16,00;3000
S01;17,70;3000
S01;16,20;3000
S02; 3,70;3000
S02; 4,90;3000
S02; 3,80;3000
S02; 3,70;3000
S02; 3,60;3000
S02; 3,30;3000
S02; 4,20;3000
S02; 4,00;3000
S02; 4,70;3000
S02; 3,90;3000
S03; 0,79;3000
S03; 0,90;3000
S03; 1,30;3000
S03; 0,82;3000
S03; 0,90;3000
S03; 0,38;3000
S03; 1,00;3000
S03; 0,56;3000
S03; 0,56;3000
S03; 0,65;3000
S04; 0,08;3000
S04; 0,15;3000
S04; 0,28;3000
S04; 0,16;3000
S04; 0,00;3000
S04; 0,18;3000
S04; 0,33;3000
S04; 0,00;3000
S04; 0,00;3000
S04; 0,23;3000
S05; 0,00;3000
S05; 0,00;3000
S05; 0,08;3000
S05; 0,08;3000
S05; 0,00;3000
S05; 0,08;3000
S05; 0,00;3000
S05; 0,00;3000
S05; 0,07;3000
S05; 0,00;3000
S06; 0,00;3000
S06; 0,00;3000
S06; 0,08;3000
S06; 0,07;3000
S06; 0,00;3000
S06; 0,00;3000
S06; 0,00;3000
S06; 0,00;3000
S06; 0,00;3000
S06; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
S07; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
blanco; 0,00;3000
