"";"ID";"Plate";"Capilar";"Lane01";"Lane02";"Lane03";"Lane04";"Lane05";"Lane06";"Lane07";"Lane08";"Lane09";"Lane10";"Lane11";"Lane12"
"1";1;"000298-01";"A";"16-011212";"16-011220";"16-011228";"16-011236";"16-011242";"16-011247";"16-011255";"16-011263";"16-011271";"16-011279";"16-011333S";"16-011290"
"2";2;"000298-01";"A";"";"";"";"";"";"";"";"";"";"";"(16-011284)";""
"3";3;"000298-01";"A";"  ";"1E12  2E01";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"1H10  1H11";"  "
"4";4;"000298-01";"A";"  ";"2E02  2G03";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"2F01  2H03";"  "
"5";5;"000298-01";"A";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0"
"6";6;"000298-01";"B";"16-011213";"16-011221";"16-011229";"16-011237";"16-011330S";"16-011248";"16-011256";"16-011264";"16-011272";"16-011280";"16-011285";"16-011291"
"7";7;"000298-01";"B";"";"";"";"";"(16-011237)";"";"";"";"";"";"";""
"8";8;"000298-01";"B";"  ";"1E04  ";"  ";"1B05  1F10";"1B04  1F10";"  ";"  ";"  ";"  ";"  ";"  ";"  "
"9";9;"000298-01";"B";"  ";"  ";"  ";"2G01  2B02";"2G01  2B02";"  ";"  ";"  ";"  ";"  ";"  ";"  "
"10";10;"000298-01";"B";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0"
"11";11;"000298-01";"C";"16-011214";"16-011222";"16-011230";"16-011238";"16-011243";"16-011249";"16-011257";"16-011265";"16-011273";"16-011281";"16-011286";"16-011292"
"12";12;"000298-01";"C";"";"";"";"";"";"";"";"";"";"";"";""
"13";13;"000298-01";"C";"  ";"1F11  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  "
"14";14;"000298-01";"C";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  "
"15";15;"000298-01";"C";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0"
"16";16;"000298-01";"D";"16-011215";"16-011223";"16-011231";"16-011328S";"16-011244";"16-011250";"16-011258";"16-011266";"16-011274";"16-011331S";"16-011287";"16-011293"
"17";17;"000298-01";"D";"";"";"";"(16-011217)";"";"";"";"";"";"(16-011267)";"";""
"18";18;"000298-01";"D";"  ";"  ";"  ";"1F01  ";"  ";"  ";"  ";"  ";"  ";"1E08  ";"  ";"  "
"19";19;"000298-01";"D";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  "
"20";20;"000298-01";"D";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0"
"21";21;"000298-01";"E";"16-011216";"16-011224";"16-011232";"16-011329S";"BLANK";"16-011251";"16-011259";"16-011267";"16-011275";"16-011282";"16-011288";"16-011336S"
"22";22;"000298-01";"E";"";"";"";"(16-011221)";"";"";"";"";"";"";"";"(16-011220)"
"23";23;"000298-01";"E";"  ";"  ";"  ";"1B02  ";"  ";"  ";"  ";"1D10  ";"  ";"  ";"  ";"1A02  2E01"
"24";24;"000298-01";"E";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"2E02  2G03"
"25";25;"000298-01";"E";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0"
"26";26;"000298-01";"F";"16-011217";"16-011225";"16-011233";"16-011239";"MS_ZZZ_TEST_QCMQ";"16-011252";"16-011260";"16-011268";"16-011276";"16-011332S";"16-011334S";"16-011294"
"27";27;"000298-01";"F";"";"";"";"";"";"";"";"";"";"(16-011237)";"(16-011222)";""
"28";28;"000298-01";"F";"1D04  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"1B04  1B05";"1C02  ";"  "
"29";29;"000298-01";"F";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"2G01  2B02";"  ";"  "
"30";30;"000298-01";"F";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0"
"31";31;"000298-01";"G";"16-011218";"16-011226";"16-011234";"16-011240";"16-011245";"16-011253";"16-011261";"16-011269";"16-011277";"16-011283";"16-011289";"16-011295"
"32";32;"000298-01";"G";"";"";"";"";"";"";"";"";"";"";"";""
"33";33;"000298-01";"G";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  "
"34";34;"000298-01";"G";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  ";"  "
"35";35;"000298-01";"G";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0";"M 0  D 0"
