LS	16:39   7 Jun 2022
File name:	22-002496_11.$av
	22-002496_11.$av	-1 S.D.	+1 S.D.	22-002497_16.$av	-1 S.D.	+1 S.D.	22-002498_21.$av	-1 S.D.	+1 S.D.	22-002499_26.$av	-1 S.D.	+1 S.D.	22-002500_31.$av	-1 S.D.	+1 S.D.	22-002501_36.$av	-1 S.D.	+1 S.D.	22-002502_41.$av	-1 S.D.	+1 S.D.	22-002503_46.$av	-1 S.D.	+1 S.D.	22-002504_51.$av	-1 S.D.	+1 S.D.	22-002505_56.$av	-1 S.D.	+1 S.D.	22-002506_61.$av	-1 S.D.	+1 S.D.	22-002507_66.$av	-1 S.D.	+1 S.D.	22-002508_71.$av	-1 S.D.	+1 S.D.	22-002509_76.$av	-1 S.D.	+1 S.D.	22-002510_86.$av	-1 S.D.	+1 S.D.	22-002511_91.$av	-1 S.D.	+1 S.D.	22-002512_96.$av	-1 S.D.	+1 S.D.	22-002513_101.$av	-1 S.D.	+1 S.D.	22-002514_106.$av	-1 S.D.	+1 S.D.	22-002515_111.$av	-1 S.D.	+1 S.D.	22-002516_116.$av	-1 S.D.	+1 S.D.	22-002517_121.$av	-1 S.D.	+1 S.D.	22-002518_126.$av	-1 S.D.	+1 S.D.	22-002519_131.$av	-1 S.D.	+1 S.D.	22-002520_136.$av	-1 S.D.	+1 S.D.	22-002521_141.$av	-1 S.D.	+1 S.D.	22-002522_146.$av	-1 S.D.	+1 S.D.	22-002523_151.$av	-1 S.D.	+1 S.D.	RF-BB2-115_06.$av	-1 S.D.	+1 S.D.	RF-ZB2-211_81.$av	-1 S.D.	+1 S.D.
Channel Diameter (Lower)	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.	Diff.
um	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume	Volume
	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%
0.375198	0.0407799	0.0404269	0.0411329	0.0444373	0.0439612	0.0449134	0.0457941	0.0451145	0.0464737	0.043926	0.0432755	0.0445765	0.0506515	0.0498487	0.0514542	0.0514548	0.0500658	0.0528438	0.0553242	0.054572	0.0560764	0.0605555	0.0599439	0.0611671	0.0191266	0.0187493	0.0195039	0.0242857	0.0237886	0.0247828	0.0232801	0.022656	0.0239042	0.0228678	0.0223273	0.0234083	0.0483943	0.047668	0.0491206	0.0478102	0.0471166	0.0485038	0.0508297	0.0505305	0.0511289	0.0420789	0.0418224	0.0423354	0.0488138	0.0486863	0.0489413	0.0530597	0.0528425	0.0532769	0.0546741	0.0545534	0.0547948	0.0592875	0.0585128	0.0600622	0.0657266	0.064769	0.0666842	0.0827116	0.0819948	0.0834284	0.127581	0.124276	0.130886	0.112971	0.111568	0.114374	0.011631	0.0114374	0.0118246	0.0128672	0.012803	0.0129314	0.0163082	0.0159253	0.0166911	0.0195201	0.0194219	0.0196183	0.106984	0.105715	0.108253	0.0590095	0.0586434	0.0593756
0.411878	0.0726231	0.0719717	0.0732745	0.0790908	0.0782497	0.0799319	0.0814984	0.0802991	0.0826977	0.0781113	0.0769551	0.0792674	0.0900227	0.088586	0.0914594	0.0915108	0.0890226	0.093999	0.0983525	0.09699	0.099715	0.107691	0.106614	0.108768	0.0340821	0.0333991	0.0347651	0.0432815	0.0423961	0.0441669	0.0414629	0.0403563	0.0425695	0.0407251	0.0397621	0.0416881	0.0860798	0.0847721	0.0873875	0.0850193	0.0837734	0.0862652	0.0903786	0.0898681	0.0908891	0.0748357	0.0743705	0.075301	0.0869295	0.0866046	0.0872544	0.0944772	0.0940052	0.0949492	0.0973084	0.0970968	0.09752	0.105478	0.104068	0.106888	0.116666	0.114971	0.118361	0.146628	0.145331	0.147925	0.225383	0.219536	0.23123	0.19971	0.197222	0.202198	0.0207429	0.0203854	0.0211004	0.0229857	0.022892	0.0230794	0.0291723	0.0284912	0.0298534	0.0347392	0.0345734	0.034905	0.19004	0.187769	0.192311	0.105055	0.104359	0.105751
0.452145	0.107264	0.106336	0.108192	0.116506	0.115286	0.117726	0.119827	0.118079	0.121575	0.114819	0.113125	0.116513	0.131678	0.129585	0.133771	0.133407	0.129702	0.137112	0.143212	0.141139	0.145285	0.156881	0.155456	0.158306	0.0504712	0.0494724	0.05147	0.0640908	0.0627636	0.065418	0.0612955	0.0596871	0.0629039	0.0600634	0.0586456	0.0614812	0.126614	0.124712	0.128516	0.124899	0.123086	0.126712	0.133336	0.132601	0.134071	0.110668	0.11003	0.111306	0.128526	0.128054	0.128998	0.139527	0.138832	0.140222	0.143908	0.143837	0.143979	0.154658	0.152626	0.15669	0.170942	0.168501	0.173383	0.214572	0.21282	0.216324	0.325046	0.316777	0.333315	0.288185	0.284617	0.291753	0.0307634	0.0302398	0.031287	0.0339155	0.0337829	0.0340481	0.0430098	0.0420267	0.0439929	0.0512541	0.0510709	0.0514373	0.27716	0.273893	0.280427	0.15475	0.153774	0.155726
0.496347	0.153293	0.15204	0.154546	0.165808	0.164134	0.167482	0.169968	0.167602	0.172334	0.163004	0.160722	0.165286	0.185433	0.182506	0.18836	0.18648	0.181173	0.191787	0.199902	0.196879	0.202925	0.218992	0.217222	0.220762	0.0723669	0.0709676	0.0737662	0.0918847	0.0899992	0.0937702	0.0876971	0.0854565	0.0899377	0.0855821	0.0835944	0.0875698	0.179884	0.177234	0.182534	0.17712	0.174661	0.179579	0.190574	0.189606	0.191542	0.158802	0.157938	0.159666	0.184002	0.183239	0.184765	0.199391	0.198422	0.20036	0.206306	0.206109	0.206503	0.21839	0.215561	0.221219	0.241795	0.238283	0.245307	0.303325	0.300692	0.305958	0.448914	0.437722	0.460106	0.398206	0.393438	0.402974	0.0441975	0.0434445	0.0449505	0.048173	0.047944	0.048402	0.0608847	0.0595314	0.062238	0.0731639	0.0729151	0.0734127	0.388524	0.384095	0.392953	0.220162	0.218709	0.221615
0.544872	0.19177	0.190346	0.193194	0.206251	0.20427	0.208232	0.2104	0.207653	0.213147	0.202356	0.199652	0.20506	0.227528	0.224099	0.230958	0.225934	0.219355	0.232513	0.241808	0.238019	0.245597	0.264674	0.262986	0.266362	0.090959	0.0893083	0.0926097	0.115424	0.113097	0.117751	0.109925	0.107289	0.112561	0.106623	0.104259	0.108987	0.223402	0.220372	0.226432	0.219477	0.216831	0.222123	0.238972	0.23798	0.239964	0.200233	0.199146	0.20132	0.230736	0.229943	0.231529	0.249461	0.248522	0.2504	0.259528	0.259374	0.259682	0.268693	0.265373	0.272013	0.298517	0.294333	0.302701	0.37455	0.371409	0.377691	0.53586	0.52282	0.5489	0.475649	0.470063	0.481235	0.0556833	0.0547755	0.0565911	0.0595139	0.0592798	0.059748	0.0746882	0.0731179	0.0762585	0.0914767	0.0910142	0.0919392	0.473649	0.468707	0.478591	0.27367	0.271892	0.275448
0.59814	0.226224	0.224765	0.227683	0.241646	0.239706	0.243586	0.245124	0.242247	0.248001	0.23666	0.233911	0.239409	0.26219	0.258482	0.265898	0.256221	0.248714	0.263728	0.273559	0.269126	0.277992	0.298991	0.297674	0.300308	0.108043	0.106215	0.109871	0.136912	0.134222	0.139602	0.130098	0.127229	0.132967	0.12532	0.122718	0.127922	0.261209	0.257897	0.264521	0.25599	0.253179	0.258801	0.282631	0.281466	0.283796	0.238315	0.237295	0.239335	0.272774	0.271813	0.273735	0.294257	0.29284	0.295674	0.308096	0.307669	0.308523	0.310781	0.307355	0.314207	0.345492	0.340557	0.350427	0.433247	0.429823	0.436671	0.593144	0.57926	0.607028	0.527341	0.521163	0.533519	0.0663774	0.0653163	0.0674385	0.0693339	0.0690091	0.0696587	0.0862001	0.0845044	0.0878958	0.107953	0.107203	0.108703	0.541173	0.536315	0.546031	0.320391	0.318741	0.322041
0.656615	0.258391	0.256888	0.259894	0.273954	0.271953	0.275955	0.276201	0.273544	0.278858	0.268068	0.265435	0.270701	0.291837	0.288037	0.295637	0.279673	0.271444	0.287902	0.29764	0.292736	0.302544	0.324559	0.323332	0.325786	0.124516	0.122617	0.126415	0.157406	0.154429	0.160383	0.1493	0.146344	0.152256	0.142757	0.140042	0.145472	0.295513	0.292337	0.298689	0.288917	0.286521	0.291313	0.323942	0.323458	0.324426	0.274988	0.274125	0.275851	0.312092	0.310873	0.313311	0.336037	0.335122	0.336953	0.354422	0.353983	0.354861	0.347422	0.344309	0.350535	0.385343	0.379982	0.390704	0.482764	0.478747	0.486782	0.626638	0.612637	0.640639	0.558492	0.552297	0.564687	0.0768161	0.0756422	0.07799	0.0781401	0.0776927	0.0785875	0.0959366	0.0942089	0.0976643	0.123546	0.122332	0.12476	0.596129	0.592094	0.600164	0.362892	0.360958	0.364826
